,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
15806,NA,Male,United States,24,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Sort of (Explain more),Bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
15807,NA,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Other,3 to 5 years,NA,NA,NA,NA
15808,NA,Male,United States,38,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,Computer Science,3 to 5 years,Python,NA,NA,NA
15809,NA,Female,United States,NA,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,A social science,6 to 10 years,NA,NA,NA,NA
15810,NA,Male,United States,60,Retired,NA,NA,Yes,NA,Other,Fine,Employed by government,Sort of (Explain more),Master's degree,Engineering (non-computer focused),More than 10 years,Matlab,NA,NA,NA
15811,NA,Male,United States,50,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Doctoral degree,Mathematics or statistics,3 to 5 years,Python,NA,NA,NA
15812,NA,Male,United States,24,I prefer not to say,Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Yes,Bachelor's degree,Electrical Engineering,NA,R,NA,NA,NA
15813,NA,Male,United States,27,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,No,Master's degree,Electrical Engineering,3 to 5 years,Python,NA,NA,NA
15814,NA,Female,United States,34,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Fine arts or performing arts,3 to 5 years,NA,NA,NA,NA
15815,NA,Female,United States,48,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15816,NA,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Researcher,Perfectly,Employed by college or university,No,Doctoral degree,Engineering (non-computer focused),More than 10 years,R,NA,NA,NA
15817,NA,Male,United States,20,Employed part-time,NA,NA,No,Yes,Researcher,Fine,Employed by college or university,No,Bachelor's degree,Computer Science,1 to 2 years,Python,NA,NA,NA
15818,NA,Male,United States,39,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,A social science,6 to 10 years,NA,NA,NA,NA
15819,NA,Male,United States,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,Computer Science,1 to 2 years,Python,NA,NA,NA
15820,NA,Male,United States,63,"Independent contractor, freelancer, or self-employed",NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15821,NA,Male,United States,26,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
15822,NA,Male,United States,52,Employed full-time,NA,NA,No,Yes,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,NA,I don't write code to analyze data,Python,NA,NA,NA
15823,NA,Male,United States,24,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Engineering (non-computer focused),1 to 2 years,Python,75000,NA,NA
15824,NA,Male,United States,31,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Electrical Engineering,1 to 2 years,Python,NA,NA,NA
15825,NA,Female,United States,26,Employed full-time,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15826,NA,Male,United States,33,Employed full-time,NA,NA,No,Yes,Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,"Information technology, networking, or system administration",3 to 5 years,Python,NA,NA,NA
15827,NA,Male,United States,28,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Electrical Engineering,3 to 5 years,Python,NA,NA,NA
15828,NA,Male,United States,54,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15829,NA,Female,United States,19,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Yes,Bachelor's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
15830,NA,Male,United States,39,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15831,NA,Male,United States,26,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Electrical Engineering,3 to 5 years,Python,NA,NA,NA
15832,NA,NA,United States,35,Employed full-time,NA,NA,No,Yes,DBA/Database Engineer,Fine,Employed by professional services/consulting firm,No,Master's degree,Physics,Less than a year,R,NA,NA,NA
15833,NA,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,A social science,More than 10 years,NA,NA,NA,NA
15834,NA,Male,United States,58,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Engineer,Poorly,Self-employed,Sort of (Explain more),Master's degree,NA,NA,NA,NA,NA,NA
15835,NA,Female,United States,48,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15836,NA,Male,United States,23,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by non-profit or NGO,No,Bachelor's degree,NA,Less than a year,NA,NA,NA,NA
15837,NA,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Statistician,Perfectly,Employed by professional services/consulting firm,Yes,Master's degree,NA,NA,NA,NA,NA,NA
15838,NA,Female,United States,45,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Doctoral degree,Engineering (non-computer focused),More than 10 years,R,NA,NA,NA
15839,NA,Female,United States,NA,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Engineering (non-computer focused),3 to 5 years,SQL,NA,NA,NA
15840,NA,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,NA,6 to 10 years,Stata,75000,NA,NA
15841,NA,Male,United States,24,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,NA,1 to 2 years,NA,NA,NA,NA
15842,NA,Male,United States,51,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,Computer Science,More than 10 years,SAS,130000,NA,NA
15843,NA,Male,United States,35,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Poorly,Employed by a company that performs advanced analytics,No,Master's degree,Electrical Engineering,3 to 5 years,NA,NA,NA,NA
15844,NA,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,Employed by company that makes advanced analytic software,No,Bachelor's degree,Engineering (non-computer focused),Less than a year,NA,NA,NA,NA
15845,NA,Male,United States,52,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15846,NA,Male,United States,31,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15847,NA,Male,United States,42,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,1 to 2 years,R,NA,NA,NA
15848,NA,Male,United States,39,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Poorly,Employed by company that makes advanced analytic software,Sort of (Explain more),Master's degree,Engineering (non-computer focused),3 to 5 years,Python,150000,NA,NA
15849,NA,Male,United States,24,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
15850,NA,Male,United States,60,Retired,NA,NA,No,Yes,Other,Poorly,Employed by government,NA,NA,NA,NA,NA,NA,NA,NA
15851,NA,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by a company that performs advanced analytics,NA,Doctoral degree,Mathematics or statistics,3 to 5 years,NA,NA,NA,NA
15852,NA,Female,United States,50,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by college or university,No,Bachelor's degree,Other,1 to 2 years,NA,NA,NA,NA
15853,NA,Male,United States,75,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Doctoral degree,Biology,1 to 2 years,R,NA,NA,NA
15854,NA,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,NA,More than 10 years,NA,60000,NA,NA
15855,NA,Male,United States,33,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Computer Science,More than 10 years,Python,134000,NA,NA
15856,NA,Male,United States,50,Employed full-time,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15857,NA,Male,United States,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Computer Science,Less than a year,Python,NA,NA,NA
15858,NA,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,NA,6 to 10 years,Python,2.00E+05,NA,NA
15859,NA,Male,United States,38,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Julia,NA,NA,NA
15860,NA,Female,United States,39,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Yes,Bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
15861,NA,Male,United States,25,Employed full-time,NA,NA,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Bachelor's degree,Other,1 to 2 years,SQL,NA,NA,NA
15862,NA,Male,United States,59,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,1 to 2 years,Python,NA,NA,NA
15863,NA,Male,United States,25,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Biology,Less than a year,Python,NA,NA,NA
15864,NA,Male,United States,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Some college/university study without earning a bachelor's degree,A health science,1 to 2 years,Matlab,NA,NA,NA
15865,NA,Male,United States,70,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",I don't write code to analyze data,NA,NA,NA,NA
15866,NA,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Professional degree,NA,3 to 5 years,NA,NA,NA,NA
15867,NA,NA,United States,40,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,Self-employed,NA,Bachelor's degree,A social science,3 to 5 years,NA,NA,NA,NA
15868,NA,Male,United States,58,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,Management information systems,More than 10 years,NA,NA,NA,NA
15869,NA,Male,United States,17,"Not employed, and not looking for work",No,"Yes, but data science is a small part of what I'm focused on learning",NA,NA,NA,NA,NA,No,I did not complete any formal education past high school,NA,NA,Python,NA,NA,NA
15870,NA,Male,United States,42,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,Fine arts or performing arts,More than 10 years,NA,NA,NA,NA
15871,NA,Male,United States,39,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,6 to 10 years,NA,NA,NA,NA
15872,NA,Male,United States,41,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,A social science,More than 10 years,NA,NA,NA,NA
15873,NA,Male,United States,34,Employed part-time,NA,NA,No,Yes,Other,Poorly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Other,1 to 2 years,Python,NA,NA,NA
15874,NA,Male,United States,38,Employed full-time,NA,NA,No,Yes,Computer Scientist,Fine,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,Python,NA,NA,NA
15875,NA,Male,United States,52,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15876,NA,Male,United States,44,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,Other,More than 10 years,Python,NA,NA,NA
15877,NA,Male,United States,51,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by government,Sort of (Explain more),Doctoral degree,A humanities discipline,More than 10 years,Python,NA,NA,NA
15878,NA,Female,United States,30,Employed part-time,NA,NA,Yes,NA,Researcher,NA,Employed by college or university,Yes,Doctoral degree,Computer Science,6 to 10 years,Python,NA,NA,NA
15879,NA,Male,United States,37,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,No,Some college/university study without earning a bachelor's degree,Management information systems,1 to 2 years,NA,NA,NA,NA
15880,NA,Male,United States,42,Employed full-time,NA,NA,No,Yes,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Professional degree,NA,Less than a year,Python,NA,NA,NA
15881,NA,Male,United States,29,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Engineering (non-computer focused),6 to 10 years,Python,NA,NA,NA
15882,NA,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,NA,NA,NA,NA
15883,NA,Male,United States,NA,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15884,NA,Male,United States,38,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,NA,NA,NA,NA
15885,NA,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Engineer,Poorly,Employed by a company that performs advanced analytics,No,Doctoral degree,Computer Science,3 to 5 years,NA,NA,NA,NA
15886,NA,Male,United States,32,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by government,Yes,Master's degree,Electrical Engineering,1 to 2 years,NA,NA,NA,NA
15887,NA,Male,United States,34,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",NA,Doctoral degree,Physics,6 to 10 years,NA,NA,NA,NA
15888,NA,Female,United States,49,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,Fine arts or performing arts,1 to 2 years,NA,NA,NA,NA
15889,NA,Female,United States,23,Employed full-time,NA,NA,No,Yes,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,NA,I don't write code to analyze data,Java,NA,NA,NA
15890,NA,Female,United States,48,Employed full-time,NA,NA,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,A social science,3 to 5 years,R,NA,NA,NA
15891,NA,Male,United States,29,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Master's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
15892,NA,Male,United States,34,Employed full-time,NA,NA,No,Yes,Other,Poorly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,NA,3 to 5 years,R,NA,NA,NA
15893,NA,Male,United States,59,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15894,NA,Male,United States,27,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",No,Master's degree,"Information technology, networking, or system administration",3 to 5 years,NA,NA,NA,NA
15895,NA,Male,United States,42,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Self-employed,NA,Master's degree,"Information technology, networking, or system administration",More than 10 years,R,65000,NA,NA
15896,NA,Male,United States,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Engineering (non-computer focused),Less than a year,Python,NA,NA,NA
15897,NA,Female,United States,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Mathematics or statistics,6 to 10 years,NA,NA,NA,NA
15898,NA,Male,United States,24,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,Mathematics or statistics,6 to 10 years,NA,NA,NA,NA
15899,NA,Male,United States,53,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Other,Fine,Self-employed,No,Doctoral degree,A humanities discipline,3 to 5 years,NA,NA,NA,NA
15900,NA,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by company that makes advanced analytic software,NA,Master's degree,NA,3 to 5 years,NA,NA,NA,NA
15901,NA,Female,United States,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,NA,6 to 10 years,NA,NA,NA,NA
15902,NA,Male,United States,24,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,NA,1 to 2 years,R,NA,NA,NA
15903,NA,Male,United States,15,"Not employed, and not looking for work",No,"Yes, but data science is a small part of what I'm focused on learning",NA,NA,NA,NA,NA,No,I did not complete any formal education past high school,NA,NA,NA,NA,NA,NA
15904,NA,Male,United States,22,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
15905,NA,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Operations Research Practitioner,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Doctoral degree,Engineering (non-computer focused),3 to 5 years,NA,NA,NA,NA
15906,NA,Male,United States,35,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Doctoral degree,Engineering (non-computer focused),1 to 2 years,Java,NA,NA,NA
15907,NA,Male,United States,52,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Yes,Bachelor's degree,"Information technology, networking, or system administration",More than 10 years,R,NA,NA,NA
15908,NA,Male,United States,31,Employed full-time,NA,NA,Yes,NA,Predictive Modeler,Perfectly,Employed by a company that performs advanced analytics,Yes,Master's degree,Computer Science,More than 10 years,Python,NA,NA,NA
15909,NA,Male,United States,25,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
15910,NA,Female,United States,48,Employed part-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,NA,NA,NA,NA,NA,NA
15911,NA,Male,United States,58,Employed full-time,NA,NA,Yes,NA,Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,Electrical Engineering,More than 10 years,NA,NA,NA,NA
15912,NA,Male,United States,60,"Independent contractor, freelancer, or self-employed",NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15913,NA,Male,United States,23,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by college or university,No,Bachelor's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
15914,NA,Male,United States,47,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Doctoral degree,A health science,1 to 2 years,Python,NA,NA,NA
15915,NA,Male,United States,42,Employed full-time,NA,NA,Yes,NA,NA,Poorly,Employed by a company that performs advanced analytics,No,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,NA,NA,NA,NA
15916,NA,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by non-profit or NGO,NA,Doctoral degree,Computer Science,6 to 10 years,Python,105000,NA,NA
15917,NA,Male,United States,42,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by government,NA,Master's degree,Mathematics or statistics,More than 10 years,R,1.00E+05,NA,NA
15918,NA,Male,United States,30,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
15919,NA,Male,United States,15,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,I prefer not to answer,Other,I don't write code to analyze data,NA,NA,NA,NA
15920,NA,Female,United States,25,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Electrical Engineering,1 to 2 years,Python,NA,NA,NA
15921,NA,Male,United States,25,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Bachelor's degree,Electrical Engineering,3 to 5 years,Python,NA,NA,NA
15922,NA,Male,United States,23,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15923,NA,Male,United States,29,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by government,NA,Bachelor's degree,Mathematics or statistics,6 to 10 years,NA,NA,NA,NA
15924,NA,Male,United States,61,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,NA,Less than a year,R,120000,NA,NA
15925,NA,Male,United States,34,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Doctoral degree,"Information technology, networking, or system administration",More than 10 years,Python,NA,NA,NA
15926,NA,Male,United States,36,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Yes,Doctoral degree,A social science,More than 10 years,NA,NA,NA,NA
15927,NA,Male,United States,18,"Not employed, and not looking for work",Yes,"Yes, but data science is a small part of what I'm focused on learning",NA,NA,NA,NA,NA,Yes,Some college/university study without earning a bachelor's degree,Biology,NA,R,NA,NA,NA
15928,NA,Female,United States,25,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,NA,1 to 2 years,Python,NA,NA,NA
15929,NA,Male,United States,42,Employed full-time,NA,NA,No,Yes,Other,Perfectly,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Other,I don't write code to analyze data,Python,NA,NA,NA
15930,NA,Male,United States,73,Retired,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,Mathematics or statistics,More than 10 years,Python,NA,NA,NA
15931,NA,Male,United States,53,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,Electrical Engineering,3 to 5 years,R,NA,NA,NA
15932,NA,Male,United States,41,I prefer not to say,Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Yes,Doctoral degree,Physics,NA,Python,NA,NA,NA
15933,NA,Female,United States,31,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15934,NA,Male,United States,18,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Programmer,Fine,"Employed by professional services/consulting firm,Employed by college or university,Employed by a company that performs advanced analytics,Self-employed",Sort of (Explain more),Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
15935,NA,Male,United States,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Mathematics or statistics,3 to 5 years,NA,NA,NA,NA
15936,NA,Male,United States,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,Engineering (non-computer focused),Less than a year,Python,NA,NA,NA
15937,NA,Male,United States,38,Employed full-time,NA,NA,No,Yes,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,Biology,1 to 2 years,Python,NA,NA,NA
15938,NA,Female,United States,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,Psychology,3 to 5 years,NA,NA,NA,NA
15939,NA,Male,United States,58,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15940,NA,Male,United States,23,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Computer Science,Less than a year,NA,NA,NA,NA
15941,NA,Male,United States,40,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Scientist/Researcher,Fine,Self-employed,Yes,Doctoral degree,Electrical Engineering,More than 10 years,Python,NA,NA,NA
15942,NA,Male,United States,54,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,Electrical Engineering,3 to 5 years,Python,NA,NA,NA
15943,NA,Female,United States,34,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that performs advanced analytics,Yes,Doctoral degree,Mathematics or statistics,3 to 5 years,NA,NA,NA,NA
15944,NA,Male,United States,40,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,More than 10 years,R,3.00E+05,NA,NA
15945,NA,Male,United States,25,Employed part-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,No,Master's degree,Electrical Engineering,1 to 2 years,NA,NA,NA,NA
15946,NA,Female,United States,32,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Doctoral degree,Physics,6 to 10 years,NA,NA,NA,NA
15947,NA,Female,United States,33,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,No,Master's degree,Fine arts or performing arts,1 to 2 years,SQL,65000,NA,NA
15948,NA,Female,United States,38,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,"Employed by professional services/consulting firm,Self-employed",Yes,Professional degree,NA,More than 10 years,NA,NA,NA,NA
15949,NA,Male,United States,42,Employed full-time,NA,NA,Yes,NA,Engineer,NA,Employed by a company that performs advanced analytics,No,Master's degree,"Information technology, networking, or system administration",More than 10 years,NA,NA,NA,NA
15950,NA,Male,United States,59,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,More than 10 years,NA,NA,NA,NA
